T,d2G_HCP_A3_AL_
350,4278786.719381
360,3458416.875780
370,2828145.008534
380,2337533.578020
390,1950975.702383
400,1642970.114369
410,1394992.636964
420,1193429.273469
430,1028119.615158
440,891421.441355
450,777507.970782
460,681899.392936
470,601122.838013
480,532454.113234
490,473743.823518
500,423284.037539
510,388066.143049
520,341903.188478
530,308986.392719
540,280229.007909
550,255045.498250
