Temp,Mo@liq,Si@liq,Ti@liq,Mo@motisi,Si@moti5si3,Ti@moti5si3
817,0.304371,0.00534775,0.690281,0.13152,0.374816,0.493664
816,0.304664,0.00529989,0.690036,0.131577,0.374817,0.493606
815,0.304956,0.00525243,0.689792,0.131633,0.374819,0.493548
814,0.305248,0.00520536,0.689547,0.13169,0.37482,0.49349
813,0.305539,0.00515868,0.689302,0.131746,0.374821,0.493433
812,0.30583,0.00511238,0.689058,0.131803,0.374823,0.493375
811,0.306121,0.00506646,0.688813,0.131859,0.374824,0.493317
810,0.306411,0.00502092,0.688568,0.131916,0.374826,0.493259
809,0.3067,0.00497575,0.688324,0.131972,0.374827,0.493201
808,0.30699,0.00493094,0.688079,0.132029,0.374828,0.493143
807,0.307279,0.00488651,0.687835,0.132085,0.37483,0.493085
806,0.307567,0.00484243,0.68759,0.132142,0.374831,0.493027
805,0.307855,0.00479871,0.687346,0.132198,0.374833,0.492969
804,0.308143,0.00475535,0.687101,0.132255,0.374834,0.492911
803,0.308431,0.00471234,0.686857,0.132311,0.374835,0.492854
802,0.308718,0.00466967,0.686612,0.132367,0.374837,0.492796
801,0.309005,0.00462735,0.686368,0.132424,0.374838,0.492738
800,0.309291,0.00458538,0.686123,0.13248,0.374839,0.49268
799,0.309577,0.00454374,0.685879,0.132537,0.374841,0.492622
798,0.309863,0.00450243,0.685634,0.132593,0.374842,0.492565
797,0.310149,0.00446146,0.68539,0.13265,0.374843,0.492507
796,0.310434,0.00442082,0.685145,0.132706,0.374845,0.492449
795,0.310719,0.00438051,0.6849,0.132763,0.374846,0.492391
794,0.311004,0.00434052,0.684656,0.132819,0.374847,0.492334
793,0.311288,0.00430085,0.684411,0.132875,0.374849,0.492276
792,0.311572,0.00426149,0.684166,0.132932,0.37485,0.492218
791,0.311856,0.00422246,0.683921,0.132988,0.374851,0.492161
790,0.31214,0.00418373,0.683676,0.133045,0.374852,0.492103
789,0.312423,0.00414532,0.683432,0.133101,0.374854,0.492045
788,0.312706,0.00410721,0.683187,0.133158,0.374855,0.491987
787,0.312989,0.00406941,0.682942,0.133214,0.374856,0.49193
786,0.313272,0.0040319,0.682696,0.13327,0.374857,0.491872
785,0.313554,0.0039947,0.682451,0.133327,0.374859,0.491815
784,0.313836,0.0039578,0.682206,0.133383,0.37486,0.491757
783,0.314118,0.00392118,0.681961,0.13344,0.374861,0.491699
782,0.3144,0.00388486,0.681715,0.133496,0.374862,0.491642
781,0.314681,0.00384883,0.68147,0.133552,0.374864,0.491584
780,0.314963,0.00381309,0.681224,0.133609,0.374865,0.491527
779,0.315244,0.00377763,0.680978,0.133665,0.374866,0.491469
778,0.315525,0.00374245,0.680733,0.133722,0.374867,0.491411
777,0.315806,0.00370755,0.680487,0.133778,0.374868,0.491354
776,0.316086,0.00367293,0.680241,0.133834,0.374869,0.491296
775,0.316367,0.00363859,0.679995,0.133891,0.374871,0.491239
774,0.316647,0.00360452,0.679749,0.133947,0.374872,0.491181
773,0.316927,0.00357072,0.679502,0.134003,0.374873,0.491124
772,0.317207,0.00353718,0.679256,0.13406,0.374874,0.491066
771,0.317487,0.00350392,0.67901,0.134116,0.374875,0.491009
770,0.317766,0.00347091,0.678763,0.134173,0.374876,0.490951
769,0.318046,0.00343818,0.678516,0.134229,0.374877,0.490894
768,0.318325,0.0034057,0.678269,0.134285,0.374879,0.490836
767,0.318604,0.00337347,0.678022,0.134342,0.37488,0.490779
766,0.318883,0.00334151,0.677775,0.134398,0.374881,0.490721
765,0.319162,0.0033098,0.677528,0.134454,0.374882,0.490664
764,0.319441,0.00327834,0.677281,0.134511,0.374883,0.490606
763,0.31972,0.00324713,0.677033,0.134567,0.374884,0.490549
762,0.319998,0.00321617,0.676785,0.134623,0.374885,0.490492
761,0.320277,0.00318546,0.676538,0.13468,0.374886,0.490434
760,0.320555,0.00315499,0.67629,0.134736,0.374887,0.490377
759,0.320834,0.00312476,0.676042,0.134793,0.374888,0.490319
758,0.321112,0.00309477,0.675793,0.134849,0.374889,0.490262
757,0.32139,0.00306502,0.675545,0.134905,0.37489,0.490204
756,0.321668,0.00303551,0.675296,0.134962,0.374891,0.490147
755,0.321946,0.00300624,0.675048,0.135018,0.374892,0.49009
754,0.322224,0.00297719,0.674799,0.135074,0.374893,0.490032
753,0.322502,0.00294838,0.67455,0.135131,0.374894,0.489975
752,0.32278,0.0029198,0.674301,0.135187,0.374895,0.489918
751,0.323057,0.00289145,0.674051,0.135243,0.374896,0.48986
750,0.323335,0.00286333,0.673802,0.1353,0.374897,0.489803
749,0.323613,0.00283543,0.673552,0.135356,0.374898,0.489746
748,0.32389,0.00280775,0.673302,0.135412,0.374899,0.489688
