T,X_AL_FCC_A1_,X_AL_LIQUID_
793,0.8175216439586706,0.5202449018224535
794,0.8191341427004294,0.5244199391267916
795,0.8207379673440502,0.5285996525285652
796,0.8223332470362229,0.5327829621908816
797,0.8239203981299416,0.5369693016924563
798,0.8254996774869889,0.5411578669177904
799,0.8270713355166398,0.545347872998444
800,0.8286356121508345,0.5495385480197602
801,0.8301927361368341,0.5537291322063246
802,0.8317429251200676,0.5579188783865935
803,0.8332863859632823,0.5621070528129114
804,0.8348233151424627,0.5662929360674074
805,0.8363538991647064,0.5704758239586327
806,0.8378783149868384,0.5746550283700549
807,0.8393967304259946,0.5788298780431558
808,0.8409093045584312,0.582999719286839
809,0.8424161881050314,0.5871639166092668
810,0.8439175238029402,0.5913218532705461
811,0.8454134467634122,0.5954729317564165
812,0.8469040848160422,0.5996165741737439
813,0.8483895588397965,0.603752222569731
814,0.8498699830811031,0.6078793391766256
815,0.8513454654596719,0.6119974065852847
816,0.8528161078622104,0.6161059278500243
817,0.8542820064246035,0.6202044265283653
818,0.8557432518029219,0.6242924466592267
819,0.8571999294336361,0.6283695526831794
820,0.858652119783411,0.6324353293086773
821,0.8600998985888293,0.6364893813280941
822,0.8615433370864133,0.6405313333875691
823,0.8629825022332213,0.644560829714539
824,0.8644174569184138,0.6485775338069348
825,0.8658482601660238,0.6525811280878075
826,0.8672749673292381,0.6565713135290501
827,0.8686976302765365,0.660547809248068
828,0.8701162975698837,0.6645103520806489
829,0.8715310146353307,0.66845869613359
830,0.8729418239261506,0.6723926123199301
831,0.8743487650790172,0.676311887880464
832,0.8757518750631316,0.6802163258934689
833,0.8771511883228822,0.6841057447762215
834,0.8785467369140217,0.6879799777801132
835,0.8799385506337443,0.6918388724820587
836,0.8813266571447983,0.6956822902741213
837,0.8827110820939426,0.6995101058534692
838,0.8840918492248537,0.703322206714228
839,0.8854689804858185,0.707118492643103
840,0.8868424961322704,0.7108988752198813
841,0.8882124148245475,0.7146632773245513
842,0.8895787537208677,0.7184116326516838
843,0.8909415285658778,0.7221438852335083
844,0.8923007537748702,0.7258599889723657
845,0.8936564425138379,0.729559907183217
846,0.895008606775595,0.7332436121470504
847,0.896357257452101,0.7369110846756214
848,0.8977024044031003,0.7405623136878341
849,0.8990440565213406,0.7441972957983846
850,0.9003822217943832,0.747816034918605
851,0.90171690736328,0.7514185418699928
852,0.9030481195781387,0.7550048340102958
853,0.9043758640507489,0.7585749348722605
854,0.9057001457043852,0.7621288738151052
855,0.9070209688208912,0.7656666856885965
856,0.9083383370850455,0.7691884105094298
857,0.9096522536263576,0.7726940931499826
858,0.9109627210581605,0.7761837830388338
859,0.9122697415139821,0.7796575338729043
860,0.9135733166807949,0.783115403340322
861,0.9148734478285151,0.7865574528531486
862,0.9161701358343178,0.7899837472882073
863,0.9174633811984093,0.7933943547320746
864,0.9187531840437828,0.7967893462226971
865,0.9200395440799343,0.8001687954670601
866,0.9213224604711331,0.8035327784753843
867,0.9226019313930608,0.8068813728957707
868,0.9238779522132259,0.8102146559874122
869,0.9251505029884836,0.8135326919506466
870,0.926419701838073,0.8168356840085742
