Temp,"HSN(Nb,Nb)@liq"
1593,549773
1594,550782
1595,551803
1596,552835
1597,553880
1598,554938
1599,556009
1600,557092
1601,558189
1602,559300
1603,560425
1604,561565
1605,562719
1606,563888
1607,565072
1608,566272
1609,567488
1610,568720
1611,569970
1612,571236
1613,572520
1614,573822
1615,575143
1616,576482
1617,577841
1618,579220
1619,580619
1620,582040
1621,583481
1622,584945
