Temperature,xSI_LIQ,xAL_LIQ,xS_LIQ,xNB_LIQ,xTI_LIQ,xC_LIQ,xB_LIQ,xMN_LIQ,xMO_LIQ,xCR_LIQ,xCO_LIQ,xFE_LIQ,xCU_LIQ,xNI_LIQ
1573.8399999999938,0.0030880458273157166,0.012004311197325236,3.841544024857587e-05,0.04680259138193258,0.015317680442590458,0.0032548540049256716,0.00011402764012815735,0.0005949482897294382,0.021386460709104816,0.20772431305701944,0.0006356623831097873,0.17798155948656275,0.0009678013789751583,0.5100893287610322
1575.1799999999937,0.0030712709225684154,0.012050581729522445,3.7158880887820795e-05,0.04614990862211767,0.015151949173353975,0.0031656615567589143,0.00011029466977570691,0.0005930193166782011,0.021248831490535035,0.2079376074700471,0.000637058361909848,0.17848094724392788,0.0009686584220669601,0.5103970521398501
1576.5199999999936,0.003054408130230142,0.012094781820455579,3.595325772767083e-05,0.045497207196009457,0.014984667035592916,0.003079229490321501,0.00010671308478274611,0.0005910188181477902,0.021110524036831647,0.20815117810291914,0.000638498845371054,0.17898463609841592,0.0009692595377597106,0.5107019245454346
1577.8599999999935,0.003037469351445084,0.012136863760685812,3.479557389042553e-05,0.04484457880452728,0.014815856509546005,0.002995433024004518,0.00010327397678889418,0.0005889455826420629,0.02097147579213816,0.20836474638083327,0.0006399855142166305,0.17949273634840943,0.0009696002791671971,0.5110042391017053
1579.1999999999935,0.0030204651414112746,0.012176777373549117,3.3683054048367265e-05,0.04419211378012748,0.01464554140993708,0.0029141540596834947,9.996909616309077e-05,0.000586798325004327,0.02083162336595922,0.20857802998128705,0.0006415201675431015,0.18000536426691838,0.0009696761922503786,0.5113042837861177
1580.5399999999934,0.003003404790820593,0.012214470009359123,3.261312531314065e-05,0.043539901315801766,0.014473746881440113,0.002835280813952803,9.679079516911863e-05,0.0005845756866216445,0.020690902476791603,0.20879074197796546,0.0006431047302150802,0.18052264241385407,0.0009694828228867527,0.5116023421598087
1581.8799999999933,0.0029862964020863844,0.012249886539710339,3.158340000645003e-05,0.04288802968419584,0.014300499396767556,0.002758707467883453,9.37319767272645e-05,0.0005822762356367634,0.020549247897451623,0.20900258996434765,0.0006447412609889329,0.18104469997703324,0.0009690157242705238,0.5118986940728938
1583.2199999999932,0.002969146960554112,0.012282969352020738,3.059166010711402e-05,0.04223658644793766,0.014125826757316717,0.0026843338350823745,9.078604816225376e-05,0.0005798984671793335,0.020406593402393862,0.2092132751535897,0.0006464319614352307,0.18157167314340975,0.0009682704646471672,0.5121936163461639
1584.5599999999931,0.0029519624008999606,0.012313658344531717,2.9635843193279636e-05,0.04158565866186528,0.013949758096218491,0.0026120650476293937,8.794687939843309e-05,0.0005774408036294339,0.02026287171724367,0.20942249145103586,0.0006481791857387217,0.18210370550279065,0.000967242635389243,0.5124873834304358
1585.899999999993,0.0029347476689441723,0.012341890922036549,2.8714029720237888e-05,0.040935333067845366,0.013772323883674487,0.0025418112593761344,8.52087651275324e-05,0.0005749015949283387,0.020118014470827304,0.20962992449542736,0.0006499854514646143,0.1826409484861916,0.0009659278594223642,0.5127802680450138
1587.239999999993,0.002917506779113638,0.012367601992677875,2.782443149307093e-05,0.04028569628300054,0.013593555934503471,0.0024734873660233066,8.256639053019443e-05,0.000572279118954661,0.019971952150018592,0.2098352506643952,0.0006518534513895713,0.1831835618413167,0.0009643218000126945,0.5130725417965706
1588.5799999999929,0.0029002428677915326,0.012390723966210474,2.6965381209249802e-05,0.039636834981820475,0.013413487417759327,0.002407012741307984,8.001480017983267e-05,0.0005695715819846074,0.01982461405771855,0.21003813603967839,0.0006537860665097392,0.18373171414804815,0.0009624201699288365,0.5133644757798529
1589.9199999999928,0.0028829582427937865,0.012411186754194654,2.6135322960837367e-05,0.03898883607273614,0.013232152868326576,0.0023423109886170856,7.754936980048437e-05,0.0005667771192581846,0.01967592827433614,0.21023823532708732,0.0006557863803511831,0.1842855833770811,0.0009602187409931053,0.5136563411614635
1591.2599999999927,0.00286565442922177,0.012428917772637967,2.5332803598488883e-05,0.03834178686979298,0.013049588200424051,0.0022793097073285896,7.516578058776583e-05,0.0005638937956762371,0.01952582162321985,0.21043519072579048,0.0006578576947247111,0.18484535749500575,0.0009577133540380506,0.5139484097479533
1592.5999999999926,0.002848332211924062,0.01244384194768211,2.455646487000558e-05,0.037695775259662265,0.012865830722868694,0.0022179402731456886,7.28599958334349e-05,0.0005609196066536102,0.01937421964045848,0.21062863074126656,0.0006600035470861835,0.1854112351199485,0.0009548999292860159,0.5142409545393147
1593.9399999999926,0.002830991674812665,0.012455881724983998,2.3805036256351555e-05,0.03705088986459583,0.012680919156048048,0.0021581376317297615,7.062823962414819e-05,0.0005578524791587568,0.01922104654961048,0.21081816893572858,0.000662227729684165,0.18598342623181127,0.0009517744771701976,0.5145342502687856
1595.2799999999925,0.0028136322372704524,0.01246495708352907,2.3077328436111874e-05,0.036407220201559676,0.012494893650475597,0.0020998401049182485,6.846697740920891e-05,0.0005546902729713916,0.019066225241923678,0.21100340260939646,0.000664534310701505,0.18656215294198308,0.0009483331096166471,0.5148285739298091
1596.6199999999924,0.002796252687882272,0.012470985554672825,2.2372227317052645e-05,0.03576485683794089,0.012307795806852755,0.0020429892088487597,6.637289825481347e-05,0.0005514307821931735,0.018909677262705676,0.21118391140552864,0.0006669276576263509,0.18714765032775524,0.000944572051808572,0.5151242052906129
1597.9599999999923,0.002778851215726211,0.012473882247306813,2.168868857990603e-05,0.035123891544001896,0.012119668697504901,0.0019875294833149606,6.434289862153603e-05,0.0005480717370499268,0.018751322804549247,0.21135925583153659,0.0006694124631204686,0.18774016733731078,0.0009404876544529423,0.5154214273969239
1599.2999999999922,0.002761425439459275,0.01247355988010702,2.102573268556536e-05,0.034484417442509706,0.011930556889153487,0.0019334083317310645,6.237406751994593e-05,0.00054461080602728,0.018591080708256966,0.2115289756879042,0.0006719937736902286,0.18833996777169618,0.0009360764065733352,0.5157205270626856
1600.6399999999921,0.002743972434422787,0.012469928821943402,2.0382440301545287e-05,0.03384652915542683,0.011740506466820321,0.0018805758710603003,6.046367291297034e-05,0.0005410455983842912,0.018428868472284966,0.21169258839605667,0.0006746770215114304,0.18894733135122901,0.000931334948849496,0.516021795348796
