Temperature,xFE_FCC,xCO_FCC,xB_FCC,xNB_FCC,xMO_FCC,xSI_FCC,xCR_FCC,xMN_FCC,xTI_FCC,xNI_FCC,xAL_FCC,xCU_FCC,xC_FCC,xS_FCC
1538.999999999996,0.19526483408627238,0.0006985486538923307,8.730984881865884e-07,0.026053597540937813,0.01684133431247676,0.0025371985224925684,0.2142973373767653,0.0005125505657723374,0.009677277421022925,0.5202004007829968,0.012692422285880068,0.0009134905035092973,0.0003097962127897076,3.386367036010281e-07
1540.3399999999958,0.19555499757102046,0.0006995048585205414,8.051019761079603e-07,0.02571108832846423,0.016754925980306836,0.0025264896567452552,0.21439850413294229,0.0005111039359778037,0.009585415332721886,0.5203190989925096,0.012709489412679745,0.0009130313271998146,0.0003152317442389743,3.1362469639950093e-07
1541.6799999999957,0.19585002367931126,0.0007004871463125719,7.462925842539149e-07,0.025366813778347968,0.016667040848674344,0.002516015194244116,0.21449718116635608,0.0005096133246690913,0.009492052090538355,0.520440102013918,0.012726330459470674,0.0009124686158741406,0.0003208334213678693,2.919683312717419e-07
1543.0199999999957,0.19614958780961173,0.0007014950865074353,6.949879814776348e-07,0.025021386731214894,0.016577756676043113,0.0025057927235238226,0.21459293558439582,0.000508079467502799,0.009397335351623022,0.5205633559353914,0.0127429048964348,0.0009117984169699612,0.00032660327791106847,2.730548886651415e-07
1544.3599999999956,0.19645346711776704,0.0007025285712859101,6.498744395094895e-07,0.02467529129306685,0.016487120310510736,0.002495834418132067,0.21468536943061486,0.0005065026600955925,0.009301384092010256,0.5206888543691214,0.012759180193239928,0.0009110169556646954,0.0003325443087483529,2.564053029074025e-07
1545.6999999999955,0.19676151748370513,0.0007035877517020932,6.099157670985882e-07,0.02432891484722443,0.016395154660650047,0.0024861485330402258,0.21477410665548324,0.0005048828490997773,0.009204295754729083,0.5208166291316135,0.012775129907373046,0.0009101205623405929,0.00033866030596179937,2.4164130990777206e-07
1547.0399999999954,0.19707365683270528,0.0007046729920309777,5.742865435414772e-07,0.023982571472518054,0.016301863757682757,0.0024767404930634094,0.21485878325226399,0.0005032196980993436,0.009106151493729588,0.5209467435987136,0.012790732300832027,0.0009091056187304605,0.0003449557417820493,2.284613049152112e-07
1548.3799999999953,0.1973898530539782,0.0007057848375567673,5.423229068437836e-07,0.0236365191846199,0.016207236440416634,0.002467613691101407,0.21493903962682648,0.0005015126351790683,0.009007020043087814,0.5210792880026482,0.012805969336323815,0.0009079685169437646,0.0003514356858968763,2.1662251410297128e-07
1549.7199999999953,0.19771011525029117,0.0007069239922096971,5.134860136912372e-07,0.02329097273717441,0.016111249045829355,0.002458770079805422,0.21501451453166767,0.0004997608871496033,0.008906960594926235,0.5212143761452027,0.012820825946710222,0.000906705627359699,0.00035810574792423226,2.059277359027235e-07
1551.0599999999952,0.19803448741766685,0.0007080913034979801,4.873346788891036e-07,0.022946113218411657,0.01601386737806935,0.0024502106156001464,0.2150848400855473,0.0004979635039974845,0.008806024959953493,0.521352143153595,0.012835289502571182,0.0009053132726079673,0.00036497203840304965,1.9621539977483414e-07
