HSN[Al,Ti] 247826
HSN[Al,Cr] 152617
HSN[Al,Mn] 153760
HSN[Al,Fe] 116228
HSN[Al,Co] 55682.2
HSN[Al,Nb] 223705
HSN[Al,Mo] 164103
         HSN[Si,Al] 384211
HSN[Si,Si] 3.27052e+06
HSN[Si,Ti] 420261
HSN[Si,Cr] 162603
HSN[Si,Mn] 208282
HSN[Si,Fe] 149273
HSN[Si,Co] 47050.9
HSN[Si,Nb] 381337
HSN[Si,Mo] 269165
         HSN[Ti,Al] 247826
HSN[Ti,Si] 420261
HSN[Ti,Ti] 4.01319e+06
HSN[Ti,Cr] 215742
HSN[Ti,Mn] 205430
HSN[Ti,Fe] 136487
HSN[Ti,Co] 58836.4
HSN[Ti,Nb] 293619
HSN[Ti,Mo] 185650
         HSN[Cr,Al] 152617
HSN[Cr,Si] 162603
HSN[Cr,Ti] 215742
HSN[Cr,Cr] 115597
HSN[Cr,Mn] 74366.9
HSN[Cr,Fe] 43641.3
HSN[Cr,Co] 14307.2
HSN[Cr,Nb] 170439
HSN[Cr,Mo] 34981.1
         HSN[Mn,Al] 153760
HSN[Mn,Si] 208282
HSN[Mn,Ti] 205430
HSN[Mn,Cr] 74366.9
HSN[Mn,Mn] 5.85159e+06
HSN[Mn,Fe] 55085.5
HSN[Mn,Co] 31410.6
HSN[Mn,Nb] 194079
HSN[Mn,Mo] 41934.1
         HSN[Fe,Al] 116228
HSN[Fe,Si] 149273
HSN[Fe,Ti] 136487
HSN[Fe,Cr] 43641.3
HSN[Fe,Mn] 55085.5
HSN[Fe,Fe] 110976
HSN[Fe,Co] 26090.6
HSN[Fe,Nb] 115747
HSN[Fe,Mo] 57530.4
         HSN[Co,Al] 55682.2
HSN[Co,Si] 47050.9
HSN[Co,Ti] 58836.4
HSN[Co,Cr] 14307.2
HSN[Co,Mn] 31410.6
HSN[Co,Fe] 26090.6
HSN[Co,Co] 1.24676e+06
HSN[Co,Nb] 123545
HSN[Co,Mo] 14716.4
         HSN[Nb,Al] 223705
