T,Cp,H
K,J/(moleK),J/mole
800,36.13595625,0
850,36.13595625,0
900,36.13595625,0
950,36.13595625,0
1000,36.13595625,0
1050,36.13595625,0
1100,36.13595625,0
1150,36.13595625,0
1200,36.13595625,0
