Temp,"HSN(Cr,Cr)@liq"
1644,82515.7
1643,82108
1642,81708.8
1641,81317.1
1640,80933.1
1639,80556.6
1638,80187.4
1637,79824.9
1636,79469.7
1635,79121.4
