Temp,"HSN(Si,Ti)@liq","HSN(Ti,Ti)@liquid","HSN(Si,Si)@liquid"
330,-30066.5,27707.3,2.51492e+08
329,-30036.5,27676.6,2.50779e+08
328,-30006.4,27645.8,2.50064e+08
327,-29976.4,27615.1,2.49346e+08
326,-29946.4,27584.4,2.48627e+08
325,-29916.4,27553.8,2.47905e+08
324,-29886.4,27523.1,2.47182e+08
323,-29856.4,27492.5,2.46457e+08
322,-29826.4,27461.9,2.4573e+08
321,-29796.4,27431.3,2.45001e+08
320,-29766.4,27400.8,2.44271e+08
319,-29736.4,27370.3,2.43539e+08
318,-29706.4,27339.8,2.42805e+08
317,-29676.4,27309.3,2.4207e+08
316,-29646.4,27278.8,2.41334e+08
315,-29616.4,27248.4,2.40596e+08
314,-29586.4,27218,2.39857e+08
313,-29556.5,27187.6,2.39117e+08
312,-29526.5,27157.2,2.38375e+08
311,-29496.6,27126.9,2.37632e+08
310,-29466.6,27096.6,2.36889e+08
309,-29436.7,27066.3,2.36144e+08
308,-29406.8,27036,2.35398e+08
307,-29376.8,27005.7,2.34651e+08
306,-29346.9,26975.5,2.33903e+08
305,-29317,26945.3,2.33155e+08
304,-29287.1,26915.1,2.32405e+08
303,-29257.2,26885,2.31655e+08
302,-29227.4,26854.8,2.30904e+08
301,-29197.5,26824.7,2.30152e+08
300,-29167.6,26794.6,2.294e+08
299,-29137.8,26764.5,2.28647e+08
298,-29108,26734.5,2.27893e+08
297,-29078.1,26704.4,2.27138e+08
296,-29048.3,26674.4,2.26383e+08
295,-29018.5,26644.4,2.25628e+08
294,-28988.8,26614.5,2.24872e+08
293,-28959,26584.5,2.24115e+08
292,-28929.2,26554.6,2.23358e+08
291,-28899.5,26524.7,2.226e+08
290,-28869.8,26494.8,2.21842e+08
289,-28840.1,26464.9,2.21084e+08
288,-28810.4,26435.1,2.20325e+08
287,-28780.7,26405.2,2.19566e+08
286,-28751,26375.4,2.18806e+08
285,-28721.4,26345.6,2.18047e+08
284,-28691.7,26315.9,2.17286e+08
283,-28662.1,26286.1,2.16526e+08
282,-28632.5,26256.4,2.15765e+08
281,-28602.9,26226.7,2.15004e+08
280,-28573.4,26197,2.14243e+08
279,-28543.8,26167.3,2.13481e+08
278,-28514.3,26137.7,2.12719e+08
277,-28484.8,26108.1,2.11957e+08
276,-28455.3,26078.4,2.11195e+08
275,-28425.8,26048.9,2.10432e+08
274,-28396.4,26019.3,2.0967e+08
273,-28367,25989.7,2.08907e+08
272,-28337.6,25960.2,2.08144e+08
271,-28308.2,25930.7,2.0738e+08
270,-28278.8,25901.2,2.06617e+08
269,-28249.5,25871.7,2.05854e+08
268,-28220.2,25842.2,2.0509e+08
267,-28190.9,25812.8,2.04326e+08
266,-28161.6,25783.4,2.03562e+08
265,-28132.3,25754,2.02798e+08
264,-28103.1,25724.6,2.02034e+08
263,-28073.9,25695.2,2.0127e+08
262,-28044.8,25665.8,2.00506e+08
261,-28015.6,25636.5,1.99742e+08
260,-27986.5,25607.2,1.98977e+08
259,-27957.4,25577.9,1.98213e+08
258,-27928.3,25548.6,1.97448e+08
257,-27899.3,25519.3,1.96683e+08
256,-27870.3,25490.1,1.95919e+08
255,-27841.3,25460.8,1.95154e+08
254,-27812.3,25431.6,1.94389e+08
253,-27783.4,25402.4,1.93624e+08
252,-27754.5,25373.2,1.92859e+08
251,-27725.7,25344,1.92094e+08
250,-27696.8,25314.9,1.91329e+08
249,-27668,25285.8,1.90564e+08
248,-27639.2,25256.6,1.89799e+08
247,-27610.5,25227.5,1.89034e+08
246,-27581.8,25198.4,1.88269e+08
245,-27553.1,25169.4,1.87504e+08
244,-27524.5,25140.3,1.86738e+08
243,-27495.8,25111.3,1.85973e+08
242,-27467.3,25082.2,1.85208e+08
241,-27438.7,25053.2,1.84443e+08
240,-27410.2,25024.2,1.83677e+08
239,-27381.7,24995.2,1.82912e+08
238,-27353.3,24966.3,1.82147e+08
237,-27324.9,24937.3,1.81381e+08
236,-27296.5,24908.4,1.80616e+08
235,-27268.2,24879.4,1.7985e+08
234,-27239.9,24850.5,1.79085e+08
233,-27211.6,24821.6,1.7832e+08
232,-27183.4,24792.7,1.77554e+08
231,-27155.2,24763.8,1.76789e+08
230,-27127.1,24735,1.76023e+08
229,-27099,24706.1,1.75258e+08
228,-27070.9,24677.3,1.74492e+08
227,-27042.9,24648.5,1.73727e+08
226,-27014.9,24619.7,1.72961e+08
225,-26986.9,24590.9,1.72196e+08
224,-26959,24562.1,1.7143e+08
223,-26931.2,24533.3,1.70665e+08
222,-26903.4,24504.6,1.699e+08
221,-26875.6,24475.8,1.69134e+08
220,-26847.9,24447.1,1.68369e+08
219,-26820.2,24418.4,1.67603e+08
218,-26792.5,24389.7,1.66837e+08
217,-26765,24361,1.66072e+08
216,-26737.4,24332.3,1.65306e+08
215,-26709.9,24303.6,1.64541e+08
214,-26682.4,24274.9,1.63775e+08
213,-26655,24246.3,1.6301e+08
212,-26627.7,24217.6,1.62244e+08
211,-26600.4,24189,1.61479e+08
210,-26573.1,24160.4,1.60713e+08
209,-26545.9,24131.8,1.59948e+08
208,-26518.7,24103.2,1.59182e+08
207,-26491.6,24074.6,1.58417e+08
206,-26464.5,24046,1.57651e+08
205,-26437.5,24017.4,1.56886e+08
204,-26410.5,23988.8,1.5612e+08
203,-26383.6,23960.3,1.55355e+08
202,-26356.8,23931.7,1.54589e+08
201,-26330,23903.2,1.53824e+08
200,-26303.2,23874.7,1.53058e+08
199,-26276.5,23846.2,1.52293e+08
198,-26249.9,23817.6,1.51527e+08
197,-26223.3,23789.1,1.50761e+08
196,-26196.8,23760.6,1.49996e+08
195,-26170.3,23732.2,1.4923e+08
194,-26143.9,23703.7,1.48465e+08
193,-26117.5,23675.2,1.47699e+08
192,-26091.2,23646.7,1.46934e+08
191,-26064.9,23618.3,1.46168e+08
190,-26038.8,23589.8,1.45403e+08
189,-26012.6,23561.4,1.44637e+08
188,-25986.6,23532.9,1.43872e+08
187,-25960.6,23504.5,1.43106e+08
186,-25934.6,23476.1,1.42341e+08
185,-25908.7,23447.7,1.41575e+08
184,-25882.9,23419.3,1.4081e+08
183,-25857.2,23390.9,1.40044e+08
182,-25831.5,23362.5,1.39279e+08
181,-25805.9,23334.1,1.38513e+08
180,-25780.3,23305.7,1.37748e+08
179,-25754.8,23277.3,1.36982e+08
178,-25729.4,23248.9,1.36217e+08
177,-25704,23220.5,1.35451e+08
176,-25678.7,23192.1,1.34685e+08
175,-25653.5,23163.8,1.3392e+08
174,-25628.3,23135.4,1.33154e+08
173,-25603.2,23107.1,1.32389e+08
172,-25578.2,23078.7,1.31623e+08
171,-25553.3,23050.3,1.30858e+08
170,-25528.4,23022,1.30092e+08
169,-25503.6,22993.6,1.29327e+08
168,-25478.9,22965.3,1.28561e+08
167,-25454.2,22936.9,1.27796e+08
166,-25429.6,22908.6,1.2703e+08
165,-25405.1,22880.3,1.26265e+08
164,-25380.7,22851.9,1.25499e+08
163,-25356.3,22823.6,1.24734e+08
162,-25332,22795.3,1.23968e+08
161,-25307.8,22766.9,1.23203e+08
160,-25283.7,22738.6,1.22437e+08
159,-25259.7,22710.3,1.21672e+08
