Temp,"HSN(Si,Ti)@moti5si3","HSN(Ti,Ti)@moti5si3","HSN(Si,Si)@moti5si3"
287,196407,301251,2.96902e+09
286,196407,301251,2.96902e+09
285,196407,301251,2.96902e+09
284,196407,301251,2.96902e+09
283,196407,301251,2.96902e+09
282,196407,301251,2.96902e+09
281,196407,301251,2.96902e+09
280,196407,301251,2.96902e+09
279,196407,301251,2.96902e+09
278,196407,301251,2.96902e+09
277,196407,301251,2.96902e+09
276,196407,301251,2.96902e+09
275,196407,301251,2.96902e+09
274,196407,301251,2.96902e+09
273,196407,301251,2.96902e+09
272,196407,301251,2.96902e+09
271,196407,301251,2.96902e+09
270,196407,301251,2.96902e+09
269,196407,301251,2.96902e+09
268,196407,301251,2.96902e+09
267,196407,301251,2.96902e+09
266,196407,301251,2.96902e+09
265,196407,301251,2.96902e+09
264,196407,301251,2.96902e+09
263,196407,301251,2.96902e+09
262,196407,301251,2.96902e+09
261,196407,301251,2.96902e+09
260,196407,301251,2.96902e+09
259,196407,301251,2.96902e+09
258,196407,301251,2.96902e+09
257,196407,301251,2.96902e+09
256,196407,301251,2.96902e+09
255,196407,301251,2.96902e+09
254,196407,301251,2.96902e+09
253,196407,301251,2.96902e+09
252,196407,301251,2.96902e+09
251,196407,301251,2.96902e+09
250,196407,301251,2.96902e+09
249,196407,301251,2.96902e+09
248,196407,301251,2.96902e+09
247,196407,301251,2.96902e+09
246,196407,301251,2.96902e+09
245,196407,301251,2.96902e+09
244,196407,301251,2.96902e+09
243,196407,301251,2.96902e+09
242,196407,301251,2.96902e+09
241,196407,301251,2.96902e+09
240,196407,301251,2.96902e+09
239,196407,301251,2.96902e+09
238,196407,301251,2.96902e+09
237,196407,301251,2.96902e+09
236,196407,301251,2.96902e+09
235,196407,301251,2.96902e+09
234,196407,301251,2.96902e+09
233,196407,301251,2.96902e+09
232,196407,301251,2.96902e+09
231,196407,301251,2.96902e+09
230,196407,301251,2.96902e+09
229,196407,301251,2.96902e+09
228,196407,301251,2.96902e+09
227,196407,301251,2.96902e+09
226,196407,301251,2.96902e+09
225,196407,301251,2.96902e+09
224,196407,301251,2.96902e+09
223,196407,301251,2.96902e+09
222,196407,301251,2.96902e+09
