Temp,Mo@liq,Si@liq,Ti@liq,Mo@bcc,Si@bcc,Ti@bcc
353,0.455521,1.32273e-06,0.544477,0.000349772,0.164557,0.835093
352,0.455952,1.26983e-06,0.544046,0.000342507,0.164589,0.835068
351,0.456384,1.21876e-06,0.543615,0.000335352,0.164621,0.835043
350,0.456816,1.16948e-06,0.543182,0.000328307,0.164653,0.835018
349,0.457249,1.12192e-06,0.542749,0.000321369,0.164685,0.834993
348,0.457683,1.07604e-06,0.542316,0.000314539,0.164717,0.834968
347,0.458117,1.03179e-06,0.541882,0.000307815,0.164749,0.834943
346,0.458552,9.89119e-07,0.541447,0.000301197,0.164781,0.834918
345,0.458988,9.47982e-07,0.541011,0.000294684,0.164813,0.834893
344,0.459424,9.08334e-07,0.540575,0.000288274,0.164844,0.834867
343,0.459861,8.70128e-07,0.540138,0.000281966,0.164876,0.834842
342,0.460298,8.3332e-07,0.539701,0.000275761,0.164908,0.834816
341,0.460736,7.97869e-07,0.539263,0.000269656,0.16494,0.834791
340,0.461175,7.63731e-07,0.538824,0.000263651,0.164971,0.834765
339,0.461614,7.30866e-07,0.538385,0.000257744,0.165003,0.83474
338,0.462054,6.99234e-07,0.537945,0.000251936,0.165034,0.834714
337,0.462495,6.68797e-07,0.537504,0.000246225,0.165066,0.834688
336,0.462936,6.39516e-07,0.537063,0.00024061,0.165097,0.834662
335,0.463378,6.11354e-07,0.536621,0.00023509,0.165128,0.834636
334,0.463821,5.84276e-07,0.536179,0.000229664,0.16516,0.834611
333,0.464264,5.58246e-07,0.535735,0.000224331,0.165191,0.834585
332,0.464708,5.3323e-07,0.535292,0.000219091,0.165222,0.834558
331,0.465152,5.09195e-07,0.534847,0.000213942,0.165254,0.834532
330,0.465598,4.86108e-07,0.534402,0.000208883,0.165285,0.834506
329,0.466043,4.63937e-07,0.533956,0.000203913,0.165316,0.83448
328,0.46649,4.42653e-07,0.53351,0.000199033,0.165347,0.834454
327,0.466937,4.22224e-07,0.533063,0.000194239,0.165378,0.834427
326,0.467385,4.02622e-07,0.532615,0.000189532,0.165409,0.834401
325,0.467833,3.83818e-07,0.532166,0.000184911,0.16544,0.834375
324,0.468282,3.65785e-07,0.531717,0.000180375,0.165471,0.834348
323,0.468732,3.48496e-07,0.531268,0.000175922,0.165502,0.834322
322,0.469183,3.31925e-07,0.530817,0.000171552,0.165533,0.834295
321,0.469634,3.16046e-07,0.530366,0.000167264,0.165564,0.834269
320,0.470085,3.00835e-07,0.529914,0.000163057,0.165595,0.834242
319,0.470538,2.86269e-07,0.529462,0.000158929,0.165626,0.834215
318,0.470991,2.72323e-07,0.529009,0.000154881,0.165657,0.834188
317,0.471444,2.58975e-07,0.528555,0.000150911,0.165687,0.834162
316,0.471899,2.46204e-07,0.528101,0.000147018,0.165718,0.834135
315,0.472354,2.33987e-07,0.527646,0.000143201,0.165749,0.834108
314,0.47281,2.22306e-07,0.52719,0.00013946,0.16578,0.834081
313,0.473266,2.11138e-07,0.526734,0.000135793,0.16581,0.834054
312,0.473723,2.00466e-07,0.526277,0.000132199,0.165841,0.834027
311,0.474181,1.9027e-07,0.525819,0.000128678,0.165871,0.834
310,0.474639,1.80532e-07,0.525361,0.000125228,0.165902,0.833973
309,0.475098,1.71235e-07,0.524902,0.000121849,0.165933,0.833946
308,0.475558,1.62361e-07,0.524442,0.00011854,0.165963,0.833918
307,0.476018,1.53894e-07,0.523982,0.000115299,0.165994,0.833891
306,0.476479,1.45818e-07,0.523521,0.000112126,0.166024,0.833864
305,0.476941,1.38117e-07,0.523059,0.000109021,0.166054,0.833837
304,0.477403,1.30776e-07,0.522596,0.000105981,0.166085,0.833809
303,0.477866,1.23781e-07,0.522133,0.000103007,0.166115,0.833782
302,0.47833,1.17117e-07,0.52167,0.000100096,0.166146,0.833754
301,0.478795,1.10772e-07,0.521205,9.72493e-05,0.166176,0.833727
300,0.47926,1.04732e-07,0.52074,9.44649e-05,0.166206,0.833699
299,0.479726,9.89848e-08,0.520274,9.1742e-05,0.166237,0.833672
298,0.480192,9.35173e-08,0.519808,8.90797e-05,0.166267,0.833644
297,0.480659,8.83183e-08,0.519341,8.64772e-05,0.166297,0.833616
296,0.481127,8.33763e-08,0.518873,8.39336e-05,0.166327,0.833589
295,0.481595,7.86802e-08,0.518404,8.1448e-05,0.166358,0.833561
294,0.482065,7.42195e-08,0.517935,7.90195e-05,0.166388,0.833533
293,0.482535,6.9984e-08,0.517465,7.66473e-05,0.166418,0.833505
292,0.483005,6.59638e-08,0.516995,7.43305e-05,0.166448,0.833478
