T,d2G_FCC_A1_AL_
350,199213.689940
360,174465.497384
370,153396.417324
380,135315.770939
390,119683.273321
400,106072.429541
410,94143.136782
420,83621.967310
430,74287.174274
440,65957.386168
450,58483.144502
460,51740.198585
470,45624.356081
480,40047.267297
490,34933.115238
500,30215.594469
510,26894.851417
520,21736.105338
530,17862.133590
540,14149.194303
550,10507.402211
