T,X_ZN_FCC_A1,X_ZN_LIQUID
547,0.8829352909697366,0.9834386908456001
548,0.8813492352343497,0.983007984720102
549,0.879761965387327,0.9825706822727743
550,0.8781733240098923,0.9821267227280115
551,0.876583155132887,0.9816760446763381
552,0.8749913041208628,0.9812185860646139
553,0.8733976175603028,0.9807542841861384
554,0.871801943151586,0.9802830756706309
555,0.8702041296045918,0.9798048964741257
556,0.8686040265375209,0.9793196818687504
557,0.8670014843788224,0.9788273664324126
558,0.8653963542719535,0.9783278840383914
559,0.8637884879827159,0.9778211678448229
560,0.8621777378090796,0.9773071502841082
561,0.8605639564931981,0.976785763052224
562,0.8589469971355101,0.9762569370979534
563,0.8573267131106969,0.9757206026120273
564,0.8557029579854245,0.975176689016202
565,0.854075585437591,0.974625124952244
566,0.8524444491770906,0.9740658382708685
567,0.8508094028677758,0.9734987560205886
568,0.8491703000506812,0.9729238044365309
569,0.8475269940681847,0.9723409089291732
570,0.845879337989161,0.9717499940730551
571,0.8442271845348478,0.9711509835954255
572,0.8425703860054885,0.9705438003648824
573,0.840908794207449,0.969928366379959
574,0.8392422603808526,0.9693046027577057
575,0.8375706351275652,0.9686724297222573
576,0.8358937683394184,0.9680317665933944
577,0.8342115091266372,0.9673825317751242
578,0.8325237057462579,0.9667246427442574
579,0.830830205530598,0.9660580160390403
580,0.8291308548155376,0.965382567247806
581,0.8274254988686108,0.9646982109976919
582,0.8257139818167998,0.9640048609434213
583,0.8239961465739162,0.9633024297561661
584,0.8222718347674548,0.9625908291124918
585,0.8205408866650059,0.9618699696834605
586,0.8188031410998031,0.9611397611237958
587,0.8170584353957182,0.96040011206127
588,0.8153066052912438,0.9596509300861988
589,0.8135474848626785,0.9588921217411754
590,0.8117809064461861,0.9581235925109832
591,0.810006700558801,0.9573452468127659
592,0.8082246958181944,0.9565569879864501
593,0.8064347188611302,0.9557587182854568
594,0.8046365942605888,0.9549503388677518
595,0.8028301444412859,0.9541317497872104
596,0.801015189593719,0.953302849985403
597,0.7991915475863863,0.9524635372837569
598,0.7973590338763394,0.9516137083762111
599,0.7955174614177212,0.9507532588223312
600,0.7936666405683585,0.9498820830409789
601,0.7918063789941888,0.949000074304545
602,0.7899364815714632,0.9481071247338146
603,0.7880567502865725,0.9472031252934985
604,0.7861669841334199,0.9462879657884959
605,0.7842669790081169,0.9453615348609234
606,0.7823565276010384,0.944423719988004
607,0.7804354192858978,0.943474407480833
608,0.7785034400058556,0.942513482484115
609,0.77656037215648,0.9415408289769478
610,0.7746059944653517,0.9405563297746914
611,0.7726400818682263,0.939559866532037
612,0.7706624053815406,0.938551319747325
613,0.7686727319711454,0.9375305687682294
614,0.7666708244170607,0.9364974917988794
615,0.7646564411740036,0.9354519659084952
616,0.7626293362276563,0.9343938670416929
617,0.7605892589463393,0.9333230700305153
618,0.7585359539279182,0.9322394486083171
619,0.7564691608417562,0.9311428754256263
620,0.7543886142654667,0.9300332220681018
621,0.7522940435162334,0.9289103590767167
622,0.7501851724764524,0.9277741559703079
623,0.7480617194134508,0.9266244812706335
624,0.7459233967930209,0.9254612025300968
625,0.7437699110864237,0.9242841863622654
626,0.7416009625707183,0.9230932984754164
627,0.7394162451219671,0.9218884037092115
628,0.737215446001057,0.9206693660747259
629,0.7349982456318506,0.9194360487980217
630,0.7327643173712697,0.9181883143674606
631,0.7305133272709364,0.9169260245849483
632,0.7282449338301041,0.9156490406213774
633,0.7259587877393341,0.9143572230764415
634,0.7236545316146937,0.9130504320431161
635,0.7213317997218646,0.9117285271769994
636,0.7189902176899093,0.9103913677708318
637,0.7166294022140699,0.9090388128343979
638,0.7142489607473166,0.9076707211801773
639,0.7118484911799708,0.9062869515149444
640,0.7094275815070066,0.9048873625376662
641,0.7069858094825229,0.9034718130440258
642,0.704522742260823,0.9020401620378594
643,0.7020379360234711,0.9005922688498263
644,0.6995309355919812,0.8991279932637248
645,0.6970012740252834,0.8976471956506914
646,0.6944484722016884,0.8961497371117743
647,0.6918720383844731,0.8946354796291007
648,0.6892714677707232,0.8931042862261286
649,0.6866462420227644,0.8915560211373007
650,0.6839958287815591,0.8899905499874684
651,0.6813196811616153,0.8884077399815065
652,0.678617237226824,0.8868074601044776
653,0.6758879194466926,0.885189581332701
654,0.673131134132608,0.883553976856139
