T,X_ZN_HCP_A3,X_ZN_LIQUID
547,0.9484461095962184,0.21112632321660607
548,0.9481944774949727,0.2141967718458691
549,0.9479448188471791,0.21733439751478748
550,0.947697220881039,0.22054192004909048
551,0.947451773868973,0.22382222938935117
552,0.9472085713190846,0.2271783995418793
553,0.9469677101845508,0.23061370389778466
554,0.9467292910929698,0.2341316320675277
555,0.9464934185979768,0.23773590839324393
556,0.9462602014557242,0.24143051231692753
557,0.9460297529291866,0.2452197007984907
558,0.9458021911236292,0.24910803299330236
559,0.9455776393570356,0.25310039741293605
560,0.9453562265697956,0.25720204180391787
561,0.9451380877785409,0.26141860598497835
562,0.9449233645796573,0.2657561578800844
563,0.9447122057087515,0.2702212329674179
564,0.9445047676631577,0.2748208773263997
565,0.944301215395485,0.2795626943949545
566,0.9441017230871557,0.28445489543341007
567,0.9439064750119466,0.28950635350823756
568,0.9437156665005895,0.2947266605292564
569,0.9435295050184485,0.3001261864562356
570,0.9433482113692071,0.3057161391786944
571,0.9431720210379309,0.311508622686068
572,0.9430011856868349,0.3175166898792674
573,0.942835974815958,0.32375438458542066
574,0.9426766775982189,0.3302367648437792
575,0.9425236048931176,0.3369798961045308
576,0.9423770914342352,0.344000798365033
577,0.9422374981711386,0.3513173252044692
578,0.9421052147235943,0.35894794499871535
579,0.941980661872271,0.3669113854032741
580,0.9418642939616253,0.37522609216978
581,0.9417566010235906,0.3839094443213259
582,0.9416581103426117,0.39297666336626047
583,0.9415693870744011,0.4024393611015111
584,0.941491033411215,0.4123036985509747
585,0.9414236856780158,0.4225681901344072
586,0.9413680086880886,0.4332212929581644
587,0.9413246867468361,0.4442390704631103
588,0.9412944109424746,0.45558338577309077
589,0.9412778628549485,0.46720119795394854
590,0.9412756955292212,0.47902550850830355
591,0.9412885133522213,0.49097825530432326
592,0.9413168530790121,0.5029749865522981
593,0.9413611683840608,0.5149306176550107
594,0.941421819820262,0.5267652185440019
595,0.9414990710687239,0.5384087817852301
596,0.9415930912027208,0.5498042767977703
597,0.9417039617583167,0.5609088147898021
598,0.9418316869361292,0.5716931988630979
599,0.9419762052595422,0.5821403750173785
600,0.9421374013315298,0.5922433275318398
601,0.942315116771885,0.6020028543365077
602,0.9425091598333468,0.611425504191643
603,0.9427193135152725,0.6205218181252916
604,0.9429453422028773,0.6293049176141574
605,0.9431869969753466,0.6377894224958158
606,0.943444019774661,0.6459906531493387
607,0.9437161466342294,0.6539240629213762
608,0.9440031101512115,0.6616048490864452
609,0.9443046413617453,0.6690476977925723
610,0.9446204711511716,0.6762666269403159
611,0.9449503313057825,0.6832748989997123
612,0.9452939552905413,0.6900849826525924
613,0.9456510788185343,0.6967085476809253
614,0.9460214402630662,0.7031564818069466
615,0.9464047809514282,0.7094389214200982
616,0.9468008453700933,0.7155652905148575
617,0.9472093813039297,0.7215443439058327
618,0.947630139926539,0.7273842120427177
619,0.9480628758546179,0.7330924456440931
620,0.9485073471759969,0.7386760590027494
621,0.9489633154586233,0.7441415712593
622,0.9494305457458728,0.7494950452479786
623,0.9499088065422463,0.754742123728674
624,0.9503978697923117,0.7598880629589845
625,0.9508975108551292,0.7649377636532336
626,0.9514075084757074,0.7698957994323948
627,0.9519276447545717,0.7747664429029358
628,0.9524577051162783,0.7795536895210573
629,0.9529974782773635,0.784261279404943
630,0.9535467562141429,0.7888927172580904
631,0.9541053341305278,0.7934512905609507
632,0.9546730104260304,0.7979400861809084
633,0.9552495866640102,0.8023620055409061
634,0.9558348675401664,0.806719778476733
635,0.9564286608512851,0.8110159759030011
636,0.9570307774641869,0.8152530213973191
637,0.9576410312848465,0.8194332018027491
638,0.9582592392276184,0.8235586769393376
639,0.9588852211845571,0.8276314885072656
640,0.9595187999947092,0.8316535682558007
641,0.9601598014134205,0.8356267454859299
642,0.9608080540815677,0.8395527539472531
643,0.9614633894946647,0.8434332381840844
644,0.9621256419718864,0.847269759380716
645,0.9627946486249185,0.851063800750308
646,0.9634702493266456,0.854816772508047
647,0.9641522866796794,0.8585300164651123
648,0.9648406059846999,0.8622048102764569
649,0.9655350552086359,0.8658423713723269
650,0.9662354849526543,0.869443860600431
651,0.9669417484200094,0.8730103856034094
652,0.9676537013837054,0.8765430039535375
653,0.968371202154068,0.8800427260650924
654,0.9690941115461467,0.8835105179022799
